title;price;location;city;link;area;floor;total_floors
;17000.0;Київ, Дарницький - 21 квітня 2026 р.;Київ;https://www.olx.ua/d/uk/obyavlenie/orenda-1k-kvartira-bez-koshitsya-9b-poznyaki-dragomanova-bazhana-ID10iyRS.html?search_reason=search%7Cpromoted;52.0;: 17;
;2869755.07;Київ, Оболонський - 20 квітня 2026 р.;Київ;https://www.olx.ua/d/uk/obyavlenie/prodam-2-kmnatnu-kvartiru-blya-metro-mnska-5-hv-pshki-IDZZ6La.html?search_reason=search%7Cpromoted;43.5;: 9;
;7373063.03;Київ, Подільський - Сьогодні о 14:01;Київ;https://www.olx.ua/d/uk/obyavlenie/bez-nova-2k-kv-ra-70m2-4pov-varshavskiy-2-varshavskiy-varshavskiy3-ID10kNqx.html?search_reason=search%7Cpromoted;70.0;: 4;
;753641.83;Київ, Деснянський - Сьогодні о 16:20;Київ;https://www.olx.ua/d/uk/obyavlenie/aktsyna-propozitsya-kvartira-z-roztermnuvannyam-v-desnyanskomu-rayon-IDZXFdz.html?search_reason=search%7Corganic;25.9;: 2;
;;Київ, Дарницький - Сьогодні о 16:13;Київ;https://www.olx.ua/d/uk/obyavlenie/chudova-kvartira-za-super-tsnoyu-14300-bez-koms-rozrochka-ID10aHMg.html?search_reason=search%7Corganic;23.0;: 1;
;4065000.0;Київ, Дніпровський - Сьогодні о 14:30;Київ;https://www.olx.ua/d/uk/obyavlenie/prodatsya-kvartira-v-zhk-lsova-kazka-43m2-s-kladovkoyu-ID10bZvg.html?search_reason=search%7Corganic;43.5;: 7;
;;Київ, Голосіївський - Сьогодні о 16:13;Київ;https://www.olx.ua/d/uk/obyavlenie/prodazh-vrodvushka-53m-trts-respublka-metro-teremki-5hv-ID10kDDW.html?search_reason=search%7Corganic;53.1;: 8;
;1501102.65;Київ, Дарницький - Сьогодні о 15:03;Київ;https://www.olx.ua/d/uk/obyavlenie/1k-kvartira-harkvske-shose-ID10ghLb.html?search_reason=search%7Corganic;38.0;: 3;
;2428254.29;Київ, Дніпровський - Сьогодні о 12:32;Київ;https://www.olx.ua/d/uk/obyavlenie/prodazh-3k-kvartiri-voskresenskiy-perova-pr-25a-darnitsya-lviy-bereg-ID10dg9e.html?search_reason=search%7Corganic;61.4;: 3;
;12671072.39;Київ, Печерський - Сьогодні о 15:03;Київ;https://www.olx.ua/d/uk/obyavlenie/prodazh-kvartiri-pechersk-2km-8-poverh-83m2-zhk-edelweiss-house-ID10ghKT.html?search_reason=search%7Corganic;83.0;: 8;
